time,USD_JPY_close,USD_JPY_volume
2019-01-21T10:45:00.000000000Z,109.625,22
2019-01-21T10:50:00.000000000Z,109.620,18
2019-01-21T10:55:00.000000000Z,109.609,23
2019-01-21T11:00:00.000000000Z,109.611,23
2019-01-21T11:05:00.000000000Z,109.616,24
2019-01-21T11:10:00.000000000Z,109.618,13
2019-01-21T11:15:00.000000000Z,109.620,11
2019-01-21T11:20:00.000000000Z,109.608,19
2019-01-21T11:25:00.000000000Z,109.616,23
2019-01-21T11:30:00.000000000Z,109.600,36
2019-01-21T11:35:00.000000000Z,109.570,34
2019-01-21T11:40:00.000000000Z,109.588,15
2019-01-21T11:45:00.000000000Z,109.588,26
2019-01-21T11:50:00.000000000Z,109.590,21
2019-01-21T11:55:00.000000000Z,109.600,24
2019-01-21T12:00:00.000000000Z,109.616,21
2019-01-21T12:05:00.000000000Z,109.627,12
2019-01-21T12:10:00.000000000Z,109.644,25
2019-01-21T12:15:00.000000000Z,109.645,29
2019-01-21T12:20:00.000000000Z,109.634,11
2019-01-21T12:25:00.000000000Z,109.638,14
2019-01-21T12:30:00.000000000Z,109.638,26
2019-01-21T12:35:00.000000000Z,109.631,17
2019-01-21T12:40:00.000000000Z,109.644,35
2019-01-21T12:45:00.000000000Z,109.640,18
2019-01-21T12:50:00.000000000Z,109.644,34
2019-01-21T12:55:00.000000000Z,109.646,17
2019-01-21T13:00:00.000000000Z,109.653,29
2019-01-21T13:05:00.000000000Z,109.662,36
2019-01-21T13:10:00.000000000Z,109.668,14
2019-01-21T13:15:00.000000000Z,109.674,28
2019-01-21T13:20:00.000000000Z,109.682,39
2019-01-21T13:25:00.000000000Z,109.676,30
2019-01-21T13:30:00.000000000Z,109.672,34
2019-01-21T13:35:00.000000000Z,109.674,25
2019-01-21T13:40:00.000000000Z,109.667,15
2019-01-21T13:45:00.000000000Z,109.665,11
